"PROVINCE or REGION","MUNICIPALITY or CITY","COURT TYPE","BRANCH","JUDGE'S NAME"
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","134","Cardenas, Redentor Dela Cruz"
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","135","Advento, Josephine Mangalindan"
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","136","Liwanag, Rico Sebastian Dizon"
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","137","Mercado-Gutay, Ethel Villena"
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","138","Oga-Brual, Analie Bringuela"
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","139","Pozon, Benjamin Talusan"
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","140","Javalera-Sulit, Cristina F."
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","141","Mabazza, Cristina A."
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","142","Paggao, Rainald C."
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","143","Vacant"
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","144","Picardal-Tecson, Liza Marie Raagas"
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","145","Matti-Sy, Karen A."
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","146","Vacant"
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","147","Valera-Chua, Karla Regina D."
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","148","Soriano, Andres Bartolome"
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","149","Enriquez, Juan Jose, III, Palanca"
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","150","Vacant"
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","233","Arreza, Augusto Jose Y."
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","234","Orda-Caise, Rosario Ester B."
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","235","Moldez, Ricardo, II, A."
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","236","Vidal, Giovanni E."
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","237","Villamor-Yee, Ma. Caridad Sj."
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","3","Marcon, Robert Victor C."
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","238","Unorganized"
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","239","Unorganized"
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","240","Unorganized"
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","241","Unorganized"
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","242","Unorganized"
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","243","Unorganized"
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","244","Unorganized"
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","245","Unorganized"
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","246","Unorganized"
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","247","Unorganized"
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","248","Unorganized"
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","249","Unorganized"
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","250","Unorganized"
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","251","Unorganized"
"MAKATI CITY","Makati City","Regional Trial Court (RTC)","252","Unorganized"
"PASIG CITY","Pasig City","Regional Trial Court (RTC)","67","Cruz-Rojo, Ira Fritzie C."
"PASIG CITY","Pasig City","Regional Trial Court (RTC)","68",""
"PASIG CITY","Pasig City","Regional Trial Court (RTC)","71","Sarmiento-Flores, Elisa Ramirez"
"PASIG CITY","Pasig City","Regional Trial Court (RTC)","151","Escorpezo-Bayaua, Jennifer Bautista"
"PASIG CITY","Pasig City","Regional Trial Court (RTC)","152","Cruz, Danilo Sanga"
"PASIG CITY","Pasig City","Regional Trial Court (RTC)","154","Bulauitan, Achilles Aristotle Apolinario Cauan"
"PASIG CITY","Pasig City","Regional Trial Court (RTC)","155","Cadiz-Casaclang, Maria Gracia A."
"PASIG CITY","Pasig City","Regional Trial Court (RTC)","157","Cornejo-Tomacruz, Ana Teresa Tiangco."
"PASIG CITY","Pasig City","Regional Trial Court (RTC)","158","Tomacruz, Manuel Gerard Cruz"
"PASIG CITY","Pasig City","Regional Trial Court (RTC)","159","Rafallo-Lingan, Elma Mendoza"
"PASIG CITY","Pasig City","Regional Trial Court (RTC)","160","Lascano, Caron Aicitel Evora"
"PASIG CITY","Pasig City","Regional Trial Court (RTC)","161","Manalo Jr., Nicanor, Jr., Aureus"
"PASIG CITY","Pasig City","Regional Trial Court (RTC)","162","Sulit, Cesar Pabel Dazo"
"PASIG CITY","Pasig City","Regional Trial Court (RTC)","164","Pilar, Jennifer Albano"
"PASIG CITY","Pasig City","Regional Trial Court (RTC)","166","De Juan-Quinagoran, Rowena Dela Cruz"
"PASIG CITY","Pasig City","Regional Trial Court (RTC)","167","Medes-Cabelis, Annielyn B."
"PASIG CITY","Pasig City","Regional Trial Court (RTC)","261","Huertas, Jesus Angelito,Jr., Yling"
"PASIG CITY","Pasig City","Regional Trial Court (RTC)","262","Casihan-Dumlao, Joy Nierves"
"PASIG CITY","Pasig City","Regional Trial Court (RTC)","264","Lim, Ma. Cristina De Pio"
"PASIG CITY","Pasig City","Regional Trial Court (RTC)","265","Maddela, Tomas Eduardo, III, Buenafe"
"PASIG CITY","Pasig City","Regional Trial Court (RTC)","268","Laqui-Ceguera, Maria Cheryl Briones"
"PASIG CITY","Pasig City","Regional Trial Court (RTC)","12","Logan, Carmencita Von Possel Lacandazo"
"SAN JUAN CITY","San Juan City","Regional Trial Court (RTC)","14","Noblejas-Garcia, Mary Catherine O."
"MALABON CITY","Malabon City","Regional Trial Court (RTC)","72","Batara, Jimmy Edmund Gaoiran"
"MALABON CITY","Malabon City","Regional Trial Court (RTC)","73","Tagle-Salvador, Catherine Therese M."
"MALABON CITY","Malabon City","Regional Trial Court (RTC)","74","Dabu, Pedro, Jr., Tulud"
"MALABON CITY","Malabon City","Regional Trial Court (RTC)","169","Atanacio-Veluz, Anna Michella C."
"MALABON CITY","Malabon City","Regional Trial Court (RTC)","170","Docena, Zaldy Balagat"
